2019-06-01
Cloudflare,Inc., 87327, 51.95%
Google LLC, 16858, 10.03%
Unknown, 14772, 8.79%
Automattic,Inc, 8426, 5.01%
Squarespace,Inc., 7868, 4.68%
SiteGround, 5511, 3.28%
Sucuri, 4133, 2.46%
Incapsula Inc, 3535, 2.1%
RIPE Network Coordination Centre, 2607, 1.55%
Digital Ocean, 1385, 0.82%
None, 1254, 0.75%
SingleHop LLC, 1210, 0.72%
Hawk Host Inc., 709, 0.42%
Hetzner Online GmbH, 684, 0.41%
A2 Hosting,Inc., 557, 0.33%
Web Hosting, 475, 0.28%
Liquid Web, 442, 0.26%
Amazon Technologies Inc., 405, 0.24%
Linode, 348, 0.21%
MCI Communications Services,Inc. d/b/a Verizon Business, 235, 0.14%
OVH, 220, 0.13%
SYNERGY WHOLESALE PTY LTD, 214, 0.13%
Master Internet, 206, 0.12%
Early registration addresses, 199, 0.12%
Zenbox, 172, 0.1%
Nazwa, 168, 0.1%
ANS Communications,Inc, 158, 0.09%
Inhosted Lp., 154, 0.09%
Asiatech Data Transfer Inc PLC, 143, 0.09%
DigiRock,Inc., 141, 0.08%
StackPath,LLC., 129, 0.08%
Vultr Holdings,LLC, 126, 0.07%
Bigcommerce Inc., 117, 0.07%
Hostopia Australia Web Pty Ltd, 108, 0.06%
DIGITAL PACIFIC PTY LTD, 99, 0.06%
Amazon.com,Inc., 93, 0.06%
Microsoft Corporation, 92, 0.05%
PrivateSystems Networks GA, 90, 0.05%
Amazon Data Services Ireland Limited, 86, 0.05%
HostDime.com,Inc., 86, 0.05%
CrocWeb, 84, 0.05%
Hostopia Australia Pty Ltd, 84, 0.05%
webhost1.net., 83, 0.05%
Gino, 80, 0.05%
atman.pl., 73, 0.04%
Interserver,Inc, 70, 0.04%
co.uk., 70, 0.04%
Rochen US,Inc., 69, 0.04%
Incapsula Inc., 65, 0.04%
zColo, 64, 0.04%
Online S.A.S., 63, 0.04%
Turhost, 63, 0.04%
iWeb Technologies Inc., 62, 0.04%
Cyber Wurx LLC, 61, 0.04%
NOC4Hosts Inc., 57, 0.03%
Hostwinds LLC., 56, 0.03%
Server Central Network, 51, 0.03%
GMO DigiRock,Inc., 51, 0.03%
Amazon Data Services NoVa, 50, 0.03%
Asia Pacific Network Information Centre, 49, 0.03%
SoftLayer Technologies Inc., 49, 0.03%
Steadfast, 48, 0.03%
ISPrime,Inc., 47, 0.03%
Rackspace, 46, 0.03%
VeeroTech Systems LLC, 45, 0.03%
Niagahoster, 44, 0.03%
UD Media GmbH, 44, 0.03%
A100 ROW GmbH, 44, 0.03%
NetInternet Information Technologies Inc., 42, 0.02%
SUPERDATA-VN, 40, 0.02%
Internet Hosting LLC, 40, 0.02%
WZ Communications Inc., 37, 0.02%
BigScoots, 37, 0.02%
Transferred to the RIPE region on 2018-08-27T14, 36, 0.02%
H88 S.A., 35, 0.02%
Serverfreak Technologies Sdn Bhd, 34, 0.02%
92320.com., 34, 0.02%
AZDIGI-VN, 32, 0.02%
axspace.com., 32, 0.02%
Hostinger International Limited, 31, 0.02%
Surabaya, 31, 0.02%
., 31, 0.02%
Incapsula, 30, 0.02%
Vietnam Internet Network Information Center (VNNIC), 29, 0.02%
DFW Internet Services,Inc., 29, 0.02%
The Endurance International Group,Inc., 28, 0.02%
ip-5-196-133.eu., 27, 0.02%
wiki., 27, 0.02%
Vebhost LLC, 26, 0.02%
Taipei Taiwan, 25, 0.01%
GEEKSTORAGE.COM,LLC, 24, 0.01%
TechEVE Ltd, 22, 0.01%
Tajo Tecnologia Ltda, 22, 0.01%
ip-51-255-106.eu., 22, 0.01%
thewebhostserver.com., 22, 0.01%
cement.ua., 21, 0.01%
Choopa,LLC, 21, 0.01%
PRETECS NETWORKS INC., 21, 0.01%
iq.pl., 21, 0.01%
moin-ws.cloud., 20, 0.01%
Jakarta - Indonesia, 20, 0.01%
PrivateSystems Networks WA, 20, 0.01%
GMO Internet,Inc., 19, 0.01%
PT Dewaweb Cloud ID, 19, 0.01%
Alibaba (US) Technology Co.,Ltd., 19, 0.01%
RamNode LLC, 19, 0.01%
server.lu., 18, 0.01%
Host Duplex,LLC, 18, 0.01%
WebNX,Inc., 18, 0.01%
DFW Datacenter, 17, 0.01%
OVH (NWK), 17, 0.01%
QuadraNet Enterprises LLC, 17, 0.01%
Crucial Web Hosting,Ltd., 17, 0.01%
trwww.com., 17, 0.01%
SECURED SERVERS LLC, 17, 0.01%
Amazon Corporate Services Pty Ltd, 17, 0.01%
yourwebhoster.com., 16, 0.01%
MDDHosting LLC, 16, 0.01%
DigitalFyre Internet Solutions,LLC., 16, 0.01%
PrivateSystems Networks TX, 16, 0.01%
PSINet,Inc., 16, 0.01%
UnoEURO, 16, 0.01%
lebenshilfe-betreuungsverein.de., 16, 0.01%
Bertina Technology, 16, 0.01%
SoftLayer Dutch Holdings B.V., 16, 0.01%
ReliableSite.Net LLC, 15, 0.01%
Alibaba.com LLC, 15, 0.01%
WholeSale Internet,Inc., 15, 0.01%
Akamai Technologies,Inc., 15, 0.01%
boxsecured.com., 15, 0.01%
Contabo GmbH, 15, 0.01%
Twinservers Hosting Solutions Inc., 15, 0.01%
faraso.org., 15, 0.01%
FranTech Solutions, 15, 0.01%
Buddy Software LLC, 15, 0.01%
octosquid.com., 14, 0.01%
VIA-ONLINE GmbH, 14, 0.01%
Input Output Flood LLC, 14, 0.01%
GigeNET, 14, 0.01%
QuadraNet,Inc, 14, 0.01%
firstfind.nl., 14, 0.01%
sl-reverse.com., 14, 0.01%
Amazon Data Services UK, 14, 0.01%
sadecehosting.net., 14, 0.01%
m-b-soft.de., 14, 0.01%
CDN77, 14, 0.01%
Amazon Data Services Brazil, 13, 0.01%
Advanced Online Solutions,Inc., 13, 0.01%
Tier.Net Technologies LLC, 13, 0.01%
Hostiran, 13, 0.01%
Handy Networks,LLC, 13, 0.01%
1&1 IONOS Inc., 12, 0.01%
American International Group Data Center,Inc., 12, 0.01%
com.tr., 12, 0.01%
bertina.biz., 12, 0.01%
Amazon Data Services Singapore, 12, 0.01%
H4Y Technologies LLC, 12, 0.01%
ESecurity, 12, 0.01%
Foroquimica SL, 12, 0.01%
OVH Singapore PTE. LTD, 12, 0.01%
NETSCOUT, 12, 0.01%
KGIX, 12, 0.01%
hostdime.com., 11, 0.01%
OVH US LLC, 11, 0.01%
Fozzy, 11, 0.01%
hipex.io., 11, 0.01%
HostDime, 11, 0.01%
Net Access Corporation, 11, 0.01%
irandns.com., 11, 0.01%
totallyhosted.nl., 11, 0.01%
Aptum Technologies, 11, 0.01%
Infinite Cloud Computing, 10, 0.01%
INTERA-144, 10, 0.01%
Hosting Services,Inc., 10, 0.01%
gophotoweb.com., 10, 0.01%
Netorigin, 10, 0.01%
HIVELOCITY,Inc., 10, 0.01%
HostX, 10, 0.01%
SAKURA Internet Inc., 10, 0.01%
Krypt Technologies, 10, 0.01%
com.br., 10, 0.01%
China Telecom, 10, 0.01%
Shock Hosting LLC, 9, 0.01%
twinservers.net., 9, 0.01%
Prisma Networks LLC, 9, 0.01%
Psychz Networks, 9, 0.01%
Latin American and Caribbean IP address Regional Registry, 9, 0.01%
Net Virtue Pty Ltd, 9, 0.01%
DHosting, 9, 0.01%
Proinity LLC, 9, 0.01%
hdedi-xlogic1000.org., 9, 0.01%
net.uk., 9, 0.01%
alastyr.com., 9, 0.01%
eNET Inc., 9, 0.01%
aksoysystems.com., 9, 0.01%
Beijing 100088, 8, 0.0%
ColoCrossing, 8, 0.0%
a2webhosting.com., 8, 0.0%
Viet Solutions Services Trading Company Limited, 8, 0.0%
AWS Asia Pacific (Seoul) Region, 8, 0.0%
EZProvider Networks,Inc., 8, 0.0%
Rogers Communications Canada Inc., 8, 0.0%
Microsoft Corp, 8, 0.0%
China Unicom CHINA169 Guangdong Network, 8, 0.0%
Mammoth Media Pty Ltd, 8, 0.0%
VIETEL-AS-AP, 8, 0.0%
ZOHO, 8, 0.0%
Hosting Solution Ltd., 8, 0.0%
NetActuate,Inc, 8, 0.0%
Route Object, 8, 0.0%
main-hosting.eu., 8, 0.0%
Hurricane Electric LLC, 8, 0.0%
Fozzy Inc., 8, 0.0%
AERO Trip PRO s.r.o., 8, 0.0%
Persian Gulf Network,LLC, 8, 0.0%
maralhost.com., 8, 0.0%
Servers Australia Pty. Ltd, 8, 0.0%
routergate.com., 8, 0.0%
exxs.net., 8, 0.0%
maindns.net., 8, 0.0%
African Network Information Center, 8, 0.0%
romania-webhosting.com., 7, 0.0%
ip-51-77-43.eu., 7, 0.0%
Servikus d.o.o., 7, 0.0%
Yogyakarta,55161, 7, 0.0%
media-courtage.fr., 7, 0.0%
CloudRadium L.L.C, 7, 0.0%
Limestone Networks,Inc., 7, 0.0%
CNBKNS-VN, 7, 0.0%
24 SHELLS, 7, 0.0%
Shinjiru Technology Sdn Bhd, 7, 0.0%
aztec.media., 7, 0.0%
kiapartner.de., 7, 0.0%
Expedient, 7, 0.0%
